1x1 , 1x1, 1
3x2 , 3x4, 3
3x2 , 4x1, 4
3x2 , 4x2, 2
3x2 , 4x3, 4
3x2 , 4x4, 6
3x3 , 1x1, 9
3x3 , 1x2, 6
3x3 , 1x3, 3
3x3 , 1x4, 6
3x3 , 2x1, 6
3x3 , 2x2, 4
3x3 , 2x3, 2
3x3 , 2x4, 4
3x3 , 3x1, 3
3x3 , 3x2, 2
3x3 , 3x3, 1
3x3 , 3x4, 2
3x3 , 4x1, 6
3x3 , 4x2, 4
3x3 , 4x3, 2
3x3 , 4x4, 4
3x4 , 1x1, 12
3x4 , 1x2, 9
3x4 , 1x3, 6
3x4 , 1x4, 3
3x4 , 2x1, 8
3x4 , 2x2, 6
3x4 , 2x3, 4
3x4 , 2x4, 2
3x4 , 3x1, 4
3x4 , 3x2, 3
3x4 , 3x3, 2
3x4 , 3x4, 1
3x4 , 4x1, 8
3x4 , 4x2, 6
3x4 , 4x3, 4
3x4 , 4x4, 2
4x1 , 1x1, 4
4x1 , 1x2, 8
4x1 , 1x3, 12
4x1 , 1x4, 16
4x1 , 2x1, 3
4x1 , 2x2, 6
4x1 , 2x3, 9
4x1 , 2x4, 12
4x1 , 3x1, 2
4x1 , 3x2, 4
4x1 , 3x3, 6
4x1 , 3x4, 8
4x1 , 4x1, 1
4x1 , 4x2, 2
4x1 , 4x3, 3
4x1 , 4x4, 4
4x2 , 1x1, 8
4x2 , 1x2, 4
4x2 , 1x3, 8
4x2 , 1x4, 12
4x2 , 2x1, 6
4x2 , 2x2, 3
4x2 , 2x3, 6
4x2 , 2x4, 9
4x2 , 3x1, 4
4x2 , 3x2, 2
4x2 , 3x3, 4
4x2 , 3x4, 6
4x2 , 4x1, 2
4x2 , 4x2, 1
4x2 , 4x3, 2
4x2 , 4x4, 3
4x3 , 1x1, 12
4x3 , 1x2, 8
4x3 , 1x3, 4
4x3 , 1x4, 8
4x3 , 2x1, 9
4x3 , 2x2, 6
4x3 , 2x3, 3
4x3 , 2x4, 6
4x3 , 3x1, 6
4x3 , 3x2, 4
4x3 , 3x3, 2
4x3 , 3x4, 4
4x3 , 4x1, 3
4x3 , 4x2, 2
4x3 , 4x3, 1
4x3 , 4x4, 2
4x4 , 1x1, 16
4x4 , 1x2, 12
4x4 , 1x3, 8
4x4 , 1x4, 4
4x4 , 2x1, 12
4x4 , 2x2, 9
4x4 , 2x3, 6
4x4 , 2x4, 3
4x4 , 3x1, 8
4x4 , 3x2, 6
4x4 , 3x3, 4
4x4 , 3x4, 2
4x4 , 4x1, 4
4x4 , 4x2, 3
4x4 , 4x3, 2
4x4 , 4x4, 1
